subject	hemi	ParaSub	PreSub	Sub	CA1	CA3	CA4_DG	Tail
sub-7027863	L	59.9241301715374	339.80463184416294	401.1361272484064	635.4994744211435	132.4034396559	438.5053777694702	411.3210072219372
sub-7027863	R	48.92445980012417	297.13924373686314	448.91247330605984	754.4588725119829	137.18107426166534	442.4311860501766	396.9881034046412
sub-6451366	L	57.47973585128784	425.6907756924629	556.4645819365978	859.2331647872925	218.326702862978	652.4246306419373	733.5332785248756
sub-6451366	R	53.81318053603172	384.7660926282406	517.7990895211697	831.5303024053574	197.0680892169476	680.2386007606983	645.68409460783
sub-8244977	L	63.66475881636143	379.28493021428585	544.5392372757196	770.8287523239851	229.4005329310894	614.8334270566702	570.1310629546642
sub-8244977	R	52.6650884449482	357.100409835577	576.1308831572533	807.6794998645782	216.58610212802887	624.240552559495	566.2052546739578
sub-9578406	L	70.62751312553883	415.1727436482906	630.3885164707899	923.6389878541232	271.3252024948597	721.1635739803314	660.2394737750292
sub-9578406	R	55.66499854624272	384.09960074722767	586.0565116405487	965.378477782011	255.54789751768112	696.4235746264458	748.7923756539822
sub-9686611	L	60.36856129765511	334.1381349861622	481.43001736700535	633.351390644908	226.6598743200302	535.0210039913654	648.6842644959688
sub-9686611	R	49.73925019800663	332.0641230642796	494.9851667135954	701.7197122126818	218.73418590426445	576.1679190844297	548.613189265132
sub-7840988	L	80.73832124471664	356.8411583453417	538.724596709013	877.8625818639994	266.69571159780025	686.0905509442091	623.0554028898478
sub-7840988	R	63.73883067071438	354.2116075158119	553.1686083078384	973.007878780365	283.8433458805084	649.5731267482042	690.1274670064449
sub-7982706	L	41.92466956377029	347.4710687696934	428.7278929948807	678.1648625284433	193.2534680068493	469.5044488161802	392.8400795608759
sub-7982706	R	61.18335169553757	376.0628045499325	430.0241504460573	515.4660344421864	164.958019644022	427.3945996165276	419.3207674920559
sub-8749907	L	83.55305171012878	422.0984620302916	673.4242638498545	883.2698272317648	207.03083291649816	665.2022880166769	685.6461198180914
sub-8749907	R	100.44143450260162	474.4302271306515	669.572527423501	959.1194060891868	235.88182018697265	707.3862090706825	792.3836619406939
sub-9938814	L	63.10921990871429	364.13723599910736	557.9832788407803	784.1246501803398	232.0300837606192	601.9819603264332	596.5006431043148
sub-9938814	R	60.66484871506691	338.7676258832216	588.0564517080784	891.9732701182365	270.36226838827133	691.1274370402098	612.796451061964
sub-7130957	L	58.07233381271362	419.3578034192324	539.502351179719	810.4201584756374	208.5122700035572	619.2036664634943	591.6489366441965
sub-7130957	R	44.25793297588825	342.3971467465162	532.7618124336004	836.4193793535233	238.14101174473765	620.5369598418474	605.2040859907866
